c Graph Generator
c
c By: Mark Brockington (brock@cs.ualberta.ca)
c and Joe Culberson (joe@cs.ualberta.ca)
c
c Graph Size:40, Clique Size: 7
c Seed:0, Edge Density:  0.50000
c Depth 0 Hiding
c
c Clique Elements are:
c 34 8 35 24 23 21 6 
c
c Estimated Size of Uncompressed File:   0.0MB
c
p edge 40 397
e 3 1
e 4 1
e 4 2
e 5 2
e 5 3
e 5 4
e 6 1
e 6 4
e 7 1
e 7 3
e 7 4
e 8 1
e 8 2
e 8 3
e 8 4
e 8 5
e 8 7
e 9 2
e 9 3
e 9 5
e 9 7
e 9 8
e 10 2
e 10 4
e 10 7
e 10 8
e 11 1
e 11 2
e 11 3
e 11 5
e 11 6
e 11 7
e 11 10
e 12 1
e 12 3
e 12 6
e 12 9
e 12 11
e 13 1
e 13 2
e 13 6
e 13 7
e 13 8
e 13 10
e 13 12
e 14 1
e 14 3
e 14 4
e 14 10
e 14 12
e 14 13
e 15 1
e 15 2
e 15 3
e 15 5
e 15 6
e 15 7
e 15 10
e 15 14
e 16 1
e 16 2
e 16 6
e 16 9
e 16 12
e 16 13
e 17 2
e 17 5
e 17 7
e 17 9
e 17 12
e 18 5
e 18 6
e 18 7
e 18 9
e 18 12
e 18 14
e 18 15
e 18 17
e 19 1
e 19 2
e 19 7
e 19 8
e 19 10
e 19 13
e 19 14
e 19 16
e 19 17
e 20 5
e 20 6
e 20 7
e 20 8
e 20 10
e 20 12
e 20 13
e 20 17
e 21 1
e 21 2
e 21 3
e 21 4
e 21 5
e 21 8
e 21 9
e 21 10
e 21 13
e 21 15
e 22 5
e 22 6
e 22 7
e 22 9
e 22 13
e 22 14
e 22 15
e 22 19
e 22 20
e 22 21
e 23 2
e 23 3
e 23 5
e 23 6
e 23 9
e 23 10
e 23 11
e 23 14
e 23 15
e 23 18
e 23 20
e 24 1
e 24 3
e 24 4
e 24 5
e 24 7
e 24 9
e 24 11
e 24 12
e 24 15
e 24 16
e 24 17
e 24 18
e 24 19
e 24 20
e 24 21
e 24 22
e 25 1
e 25 2
e 25 6
e 25 7
e 25 8
e 25 9
e 25 10
e 25 11
e 25 13
e 25 14
e 25 16
e 25 19
e 25 22
e 25 23
e 25 24
e 26 2
e 26 3
e 26 4
e 26 7
e 26 8
e 26 11
e 26 13
e 26 16
e 26 20
e 26 22
e 27 2
e 27 4
e 27 5
e 27 7
e 27 8
e 27 14
e 27 15
e 27 17
e 27 18
e 27 19
e 27 21
e 27 22
e 27 23
e 27 26
e 28 2
e 28 4
e 28 5
e 28 7
e 28 8
e 28 9
e 28 10
e 28 11
e 28 16
e 28 19
e 28 24
e 28 25
e 28 26
e 29 1
e 29 2
e 29 3
e 29 4
e 29 8
e 29 9
e 29 11
e 29 12
e 29 14
e 29 15
e 29 16
e 29 17
e 29 19
e 29 20
e 29 24
e 29 28
e 30 3
e 30 5
e 30 6
e 30 8
e 30 9
e 30 10
e 30 11
e 30 13
e 30 15
e 30 16
e 30 17
e 30 18
e 30 20
e 30 22
e 30 24
e 30 27
e 30 28
e 30 29
e 31 3
e 31 5
e 31 6
e 31 12
e 31 14
e 31 16
e 31 18
e 31 22
e 31 23
e 31 24
e 31 27
e 31 29
e 31 30
e 32 1
e 32 2
e 32 3
e 32 4
e 32 7
e 32 10
e 32 13
e 32 15
e 32 19
e 32 22
e 32 23
e 32 25
e 32 26
e 32 28
e 32 29
e 33 1
e 33 5
e 33 8
e 33 10
e 33 12
e 33 13
e 33 14
e 33 15
e 33 16
e 33 17
e 33 19
e 33 22
e 33 25
e 33 28
e 33 29
e 33 31
e 34 1
e 34 2
e 34 5
e 34 7
e 34 9
e 34 10
e 34 11
e 34 13
e 34 15
e 34 17
e 34 18
e 34 19
e 34 21
e 34 24
e 34 27
e 35 2
e 35 3
e 35 5
e 35 7
e 35 9
e 35 11
e 35 13
e 35 17
e 35 22
e 35 23
e 35 24
e 35 25
e 35 26
e 35 27
e 35 29
e 36 1
e 36 4
e 36 6
e 36 7
e 36 8
e 36 9
e 36 10
e 36 12
e 36 14
e 36 15
e 36 21
e 36 22
e 36 24
e 36 25
e 36 26
e 36 30
e 36 31
e 36 32
e 36 33
e 36 34
e 36 35
e 37 1
e 37 3
e 37 4
e 37 5
e 37 6
e 37 7
e 37 8
e 37 10
e 37 11
e 37 12
e 37 15
e 37 18
e 37 21
e 37 22
e 37 23
e 37 26
e 37 28
e 37 30
e 37 34
e 37 35
e 38 2
e 38 3
e 38 4
e 38 5
e 38 7
e 38 9
e 38 11
e 38 15
e 38 17
e 38 20
e 38 22
e 38 23
e 38 24
e 38 30
e 38 34
e 38 37
e 39 3
e 39 6
e 39 8
e 39 9
e 39 11
e 39 13
e 39 14
e 39 15
e 39 18
e 39 19
e 39 24
e 39 26
e 39 28
e 39 29
e 39 31
e 39 33
e 39 34
e 39 36
e 39 37
e 39 38
e 40 1
e 40 3
e 40 4
e 40 8
e 40 9
e 40 10
e 40 11
e 40 12
e 40 17
e 40 18
e 40 19
e 40 20
e 40 21
e 40 24
e 40 25
e 40 26
e 40 28
e 40 35
